Date,Item,Item_Link,Price,Seller,"Seller_Link, Seller_Ratings"
Spotlight,🦷  [INSTOCK]  Baby Feeding Chair With Squeaking Sound,https://sg.carousell.com/p/🦷-instock-baby-feeding-chair-with-squeaking-sound-275984583,S$34.90,littlebabybernice,https://sg.carousell.com/littlebabybernice/,5.0
2020-03-06,Baby High Chair,https://sg.carousell.com/p/baby-high-chair-281536023,S$38,victoryforeva,https://sg.carousell.com/victoryforeva/,4.9
2020-03-06,Baby Mas Mesh / Netted Baby Bouncer / Rocker chair,https://sg.carousell.com/p/baby-mas-mesh-netted-baby-bouncer-rocker-chair-281519269,S$5,raveandrepeat,https://sg.carousell.com/raveandrepeat/,5.0
2020-03-04,Electronic Baby Swinging chair,https://sg.carousell.com/p/electronic-baby-swinging-chair-281315010,S$129,thinkbright,https://sg.carousell.com/thinkbright/,5.0
2020-03-04,Baby Feeding Chair,https://sg.carousell.com/p/baby-feeding-chair-281293909,S$50,lili8284269,https://sg.carousell.com/lili8284269/,5.0
2020-03-04,"❤️Ready Stock🔥 Brand New Summer Infant Deluxe Comfort Folding Baby Feeding Chair Booster Seat, Pink",https://sg.carousell.com/p/❤️ready-stock🔥-brand-new-summer-infant-deluxe-comfort-folding-baby-feeding-chair-booster-seat-pink-281234232,S$35,usababy,https://sg.carousell.com/usababy/,4.9
2020-03-04,Baby High Chair,https://sg.carousell.com/p/baby-high-chair-281180055,S$150,kayaluu,https://sg.carousell.com/kayaluu/,5.0
2020-03-03,Baby Kid Children Inflatable Bathroom Sofa Chair Seat Learn Portable Multifunctional,https://sg.carousell.com/p/baby-kid-children-inflatable-bathroom-sofa-chair-seat-learn-portable-multifunctional-281136565,S$20,onlinehome,https://sg.carousell.com/onlinehome/,5.0
2020-03-03,🔥1 Day Sale Only! ❤️[🇺🇸Imported] Ready Stock❤️ Brand New Authentic Ingenuity Baby Base 2-in-1 Baby Booster Seat Feeding Chair with Tray (Various Colour Available) Premium Quality,https://sg.carousell.com/p/🔥1-day-sale-only-❤️-🇺🇸imported-ready-stock❤️-brand-new-authentic-ingenuity-baby-base-2-in-1-baby-booster-seat-feeding-chair-with-tray-various-colour-available-premium-quality-278686700,S$62,momlove,https://sg.carousell.com/momlove/,5.0
2020-03-03,"🔥Ready Stock❤️Brand New Fisher-Price SpaceSaver High Chair, Multicolor (Baby Feeding Booster Seat Highchair)",https://sg.carousell.com/p/🔥ready-stock❤️brand-new-fisher-price-spacesaver-high-chair-multicolor-baby-feeding-booster-seat-highchair-280993827,S$69.90,usababy,https://sg.carousell.com/usababy/,4.9
2020-03-03,Baby chair cushion,https://sg.carousell.com/p/baby-chair-cushion-280983827,S$5,jxaj1,https://sg.carousell.com/jxaj1/,5.0
2020-03-03,❤️Ready Stock🔥Brand New Baby Stroller Car Seat Booster Chair Cotton Pad Feeding Thick Cushion with Breathable Back Support (Grey Star),https://sg.carousell.com/p/❤️ready-stock🔥brand-new-baby-stroller-car-seat-booster-chair-cotton-pad-feeding-thick-cushion-with-breathable-back-support-grey-star-280972796,S$15,momlove,https://sg.carousell.com/momlove/,5.0
2020-03-03,"🔥Ready Stock❤️Brand New Fisher-Price SpaceSaver High Chair, Multicolor (Baby Feeding Booster Seat Highchair) With 2 height adjustments & 3 recline positions",https://sg.carousell.com/p/🔥ready-stock❤️brand-new-fisher-price-spacesaver-high-chair-multicolor-baby-feeding-booster-seat-highchair-with-2-height-adjustments-3-recline-positions-280971061,S$68,momlove,https://sg.carousell.com/momlove/,5.0
2020-03-02,Baby Toddle Rocking Chair,https://sg.carousell.com/p/baby-toddle-rocking-chair-280954887,S$150,__nurshaa,https://sg.carousell.com/__nurshaa/,5.0
2020-03-02,Baby High Chair/Feeding Chair - Pink,https://sg.carousell.com/p/baby-high-chair-feeding-chair-pink-280818288,S$40,xgunsxrosesx,https://sg.carousell.com/xgunsxrosesx/,4.9
